Jersey_Number	DOB	City	State	Country	Birth_Country	Height	Weight	Shoots	Draft_Year	Draft_Round	Draft_Pick	Signed	Age	First_Name	Last_Name	Team	Prev_Team	Pos	Games_Curr_Team	Games_Other	Games_Other2	Games_Played	Goals	Assists	Penalty_Mins	Total_Points	Plus_Minus
16	7/4/1995	Georgetown	ON	CAN	CAN	74	200	L	2013	1	29	Y	20	Jason	Dickinson	DAL	DAL	C/LW	1	 	 	1	1	0	0	1	1
44	7/17/1993	Medicine Hat	AB	CAN	CAN	73	201	R	2011	5	138	Y	22	Darren	Dietz	MTL	MTL	D	13	 	 	13	1	4	2	5	-1
4	11/13/1990	New Westminster	BC	CAN	CAN	76	225	L					25	Brenden	Dillon	SJS	SJS	D	76	 	 	76	2	9	5	11	8
19	10/10/1976	Halkirk	AB	CAN	CAN	73	223	R	1995	1	7		39	Shane	Doan	ARI	ARI	RW/LW	71	 	 	72	28	19	12	47	4
16	3/2/1995	Winnipeg	MB	CAN	CAN	70	198	L	2013	1	12	Y	20	Max	Domi	ARI	ARI	LW/C	80	 	 	81	18	34	24	52	3
27	4/13/1992	Raahe		FIN	FIN	72	180	R	2010	4	99	Y	23	Joonas	Donskoi	SJS	SJS	RW/LW	76	 	 	76	11	25	16	36	4
15	12/20/1986	Kindersley	SK	CAN	CAN	72	192	R	2006	7	189		29	Derek	Dorsett	VAN	VAN	RW/LW	71	 	 	71	5	11	5	16	-13
8	12/8/1989	London	ON	CAN	CAN	73	195	R	2008	1	2		26	Drew	Doughty	LAK	LAK	D	81	 	 	82	14	37	18	51	24
67	5/27/1990	Huntsville	AL	USA	USA	73	175	R	2009	7	198	Y	25	Nic	Dowd	LAK	LAK	C	5	 	 	5	0	0	0	0	1
17	4/3/1987	Newmarket	ON	CAN	CAN	71	191	R	2005	1	29		28	Steve	Downie	ARI	ARI	RW/LW	26	 	 	26	3	3	2	6	1
29	10/27/1995	Cologne		DEU	DEU	73	214	L	2014	1	3		20	Leon	Draisaitl	EDM	EDM	C/LW	71	 	 	72	19	32	16	51	-2
27	3/28/1995	Ste-Agathe	QC	CAN	CAN	71	188	L	2013	1	3		20	Jonathan	Drouin	TBL	TBL	LW/C	21	 	 	21	4	6	4	10	1
17	4/29/1986	Anchorage	AK	USA	USA	74	216	L	2004	2	60		29	Brandon	Dubinsky	CBJ	CBJ	C/LW	74	 	 	75	17	31	22	48	-16
9	1/16/1991	Haliburton	ON	CAN	CAN	71	200	L	2009	1	3		25	Matt	Duchene	COL	COL	C	76	 	 	76	30	29	16	59	-8
10	8/26/1995	Pointe-Claire	QC	CAN	CAN	71	185	L	2013	3	80	Y	20	Anthony	Duclair	ARI	ARI	LW/RW	80	 	 	81	20	24	13	44	12
24	7/25/1994	Regina	SK	CAN	CAN	72	193	R	2012	1	7		21	Matt	Dumba	MIN	MIN	D	80	 	 	81	10	16	11	26	1
8	9/6/1991	Biddeford	ME	USA	USA	76	207	L	2009	2	51		24	Brian	Dumoulin	PIT	PIT	D	79	 	 	79	0	16	8	16	11
9	4/7/1979	Laval	QC	CAN	CAN	73	205	L					36	Pascal	Dupuis	PIT	PIT	RW/LW	18	 	 	18	2	2	2	4	-1
43	3/9/1992	Wheaton	IL	USA	USA	72	190	L	2011	7	204	Y	23	Ryan	Dzingel	OTT	OTT	LW/C	29	 	 	30	3	6	2	9	4
59	10/6/1989	Lloydminster	AB	CAN	CAN	75	224	L				Y	26	Dave	Dziurzynski	OTT	OTT	LW	14	 	 	14	1	3	1	4	-4
20	5/24/1991	Winnipeg	MB	CAN	CAN	72	190	L	2009	3	85		24	Cody	Eakin	DAL	DAL	C	81	 	 	82	16	19	13	35	3
18	5/1/1984	Calgary	AB	CAN	USA	72	200	R	2003	1	29		31	Patrick	Eaves	DAL	DAL	RW/LW	54	 	 	54	11	6	4	17	-5
14	5/15/1990	Regina	SK	CAN	CAN	71	181	R	2008	1	22		25	Jordan	Eberle	EDM	EDM	RW	68	 	 	69	25	22	12	47	-12
23	4/21/1986	Ostersund		SWE	SWE	75	215	L	2004	3	91		29	Alexander	Edler	VAN	VAN	D	52	 	 	52	6	14	3	20	-8
6	6/28/1993	Brandon	MB	CAN	CAN	76	207	L	2011	2	46	Y	22	Joel	Edmundson	STL	STL	D	67	 	 	67	1	8	4	9	0
27	2/14/1996	Aalborg		DNK	DNK	72	172	L	2014	1	9	Y	19	Nikolaj	Ehlers	WPG	WPG	RW/LW	71	 	 	72	15	23	16	38	3
55	7/6/1982	Moers		DEU	DEU	74	201	L	2001	4	106		33	Christian	Ehrhoff	CHI	LAK; CHI	D	40	8	 	48	2	10	5	12	-11
15	10/28/1996	North Chelmsford	MA	USA	USA	74	201	R	2015	1	2	Y	19	Jack	Eichel	BUF	BUF	C	81	 	 	81	24	32	22	56	-16
5	2/7/1996	Windsor	ON	CAN	CAN	76	216	R	2014	1	1		19	Aaron	Ekblad	FLA	FLA	D	78	 	 	78	15	21	8	36	18
14	5/24/1990	Borlange		SWE	SWE	76	215	L	2009	4	102		25	Mattias	Ekholm	NSH	NSH	D	81	 	 	82	8	27	12	35	14
23	7/17/1991	Karlskrona		SWE	SWE	74	200	L	2009	1	6		24	Oliver	Ekman-Larsson	ARI	ARI	D	74	 	 	75	21	34	16	55	-6
26	4/13/1976	Trebic		CZE	CZE	73	190	L	1994	2	51		39	Patrik	Elias	NJD	NJD	C/LW	16	 	 	16	2	6	3	8	5
81	5/8/1989	Rodovre		DNK	DNK	74	207	L	2007	1	13		26	Lars	Eller	MTL	MTL	C/LW	79	 	 	79	13	13	7	26	-13
7	1/30/1991	Vancouver	BC	CAN	CAN	73	190	R	2009	2	49		25	Stefan	Elliott	NSH	ARI; NSH	D	19	2	 	21	2	4	3	6	-3
85	4/30/1992	Summerside	PE	CAN	CAN	73	211	R	2010	4	117	Y	23	Morgan	Ellis	MTL	MTL	D	3	 	 	3	0	0	0	0	0
4	1/3/1991	Hamilton	ON	CAN	CAN	70	180	R	2009	1	11		25	Ryan	Ellis	NSH	NSH	D	78	 	 	79	10	22	13	32	13
65	9/13/1992	New Westminster	BC	CAN	CAN	72	195	L				Y	23	Turner	Elson	CGY	CGY	LW	1	 	 	1	0	1	0	1	1
74	4/25/1986	Togliatti		RUS	RUS	74	216	L	2004	3	84		29	Alexei	Emelin	MTL	MTL	D	72	 	 	72	0	12	3	12	-7
29	4/3/1982	Edmonton	AB	CAN	CAN	74	214	R	2000	6	194		33	Deryk	Engelland	CGY	CGY	D/RW	68	 	 	69	3	9	2	12	7
63	10/6/1989	Edmonton	AB	CAN	CAN	69	160	L	2008	1	26		26	Tyler	Ennis	BUF	BUF	C	23	 	 	23	3	8	3	11	-9
39	11/5/1984	Nordingra		SWE	SWE	70	180	L	2003	8	239		31	Toby	Enstrom	WPG	WPG	D	71	 	 	72	2	14	5	16	8
52	3/2/1984	Karlskrona		SWE	SWE	76	220	L	2002	9	291		31	Jonathan	Ericsson	DET	DET	D	71	 	 	71	3	12	6	15	2
21	7/17/1985	Goteborg		SWE	SWE	74	183	L	2003	2	33		30	Loui	Eriksson	BOS	BOS	RW/LW	82	 	 	82	30	33	18	63	13
26	6/16/1992	Long Beach	CA	USA	USA	73	212	L	2010	1	29		23	Emerson	Etem	VAN	NYR; VAN	RW/LW	19	39	 	58	7	8	6	15	-12
45	12/31/1991	Vasteras		SWE	SWE	76	205	L					24	Dennis	Everberg	COL	COL	RW/C	15	 	 	15	0	0	0	0	-5
15	1/22/1996	Mississauga	ON	CAN	CAN	70	180	L	2014	1	21	Y	20	Robby	Fabbri	STL	STL	C	72	 	 	72	18	19	8	37	-2
12	1/9/1994	Vitkov		CZE	CZE	75	210	L	2012	1	13	Y	22	Radek	Faksa	DAL	DAL	C	44	 	 	45	5	7	2	12	9
44	10/11/1988	Snowflake	MB	CAN	CAN	77	224	L	2007	4	110		27	Justin	Falk	CBJ	CBJ	D	24	 	 	24	0	4	4	4	2
23	1/21/1989	North Andover	MA	USA	USA	70	190	L					27	Bobby	Farnham	NJD	PIT; NJD	LW	3	50	 	53	8	2	1	10	-2
52	7/28/1995	Milwaukee	WI	USA	USA	74	216	R	2013	4	118	Y	20	Hudson	Fasching	BUF	BUF	RW	7	 	 	7	1	1	1	2	2
19	12/2/1991	Nassjo		SWE	SWE	72	188	R	2010	6	157		24	Jesper	Fast	NYR	NYR	RW/LW	78	 	 	79	10	20	10	30	9
27	3/20/1992	South St.Paul	MN	USA	USA	72	215	R	2010	2	37		23	Justin	Faulk	CAR	CAR	D	63	 	 	64	16	21	10	37	-22
5	5/15/1987	Nashua	NH	USA	USA	75	212	R	2005	5	155		28	Mark	Fayne	EDM	EDM	D	68	 	 	69	2	5	2	7	-6
58	6/4/1988	Edmonton	AB	CAN	CAN	72	200	R					27	Taylor	Fedun	VAN	VAN	D	1	 	 	1	0	1	1	1	1
16	9/7/1985	Winkler	MB	CAN	CAN	76	212	R	2003	1	18		30	Eric	Fehr	PIT	PIT	C	55	 	 	55	8	6	1	14	0
21	3/17/1979	Edmonton	AB	CAN	CAN	71	182	L	1997	8	208		36	Andrew	Ference	EDM	EDM	D	6	 	 	6	0	0	0	0	-4
79	4/20/1992	Swan River	MB	CAN	CAN	74	208	L	2010	5	133		23	Micheal	Ferland	CGY	CGY	LW	0	 	 	71	4	14	7	18	-15
29	8/8/1991	Trail	BC	CAN	CAN	72	186	R	2009	2	32	Y	24	Landon	Ferraro	BOS	DET; BOS	C/RW	10	58	 	68	5	5	3	10	-11
56	7/22/1996	St. Gallen		CHE	CHE	70	193	L	2014	1	11	Y	19	Kevin	Fiala	NSH	NSH	LW/RW	5	 	 	5	1	0	0	1	0
38	5/9/1980	Edmonton	AB	CAN	CAN	71	205	L					35	Vernon	Fiddler	DAL	DAL	C	81	 	 	82	12	10	4	22	5
51	3/20/1984	Vantaa		FIN	FIN	72	196	L	2002	3	95		31	Valtteri	Filppula	TBL	TBL	C/LW	75	 	 	76	8	23	12	31	-6
12	6/5/1980	Peterborough	ON	CAN	CAN	73	216	R	1998	2	44		35	Mike	Fisher	NSH	NSH	C	69	 	 	70	13	10	7	23	-14
12	5/16/1984	Koprivnice		CZE	CZE	73	192	L	2002	2	63		31	Tomas	Fleischmann	CHI	MTL; CHI	LW/RW	57	19	 	76	14	11	8	25	-8
32	7/26/1988	Lynnfield	MA	USA	USA	73	183	R					27	Brian	Flynn	MTL	MTL	C	56	 	 	56	4	6	3	10	-3
82	8/10/1991	Buffalo	NY	USA	CAN	75	226	L	2009	4	104		24	Marcus	Foligno	BUF	BUF	LW/C	75	 	 	75	10	13	7	23	4
71	10/31/1987	Buffalo	NY	USA	USA	72	210	L	2006	1	28		28	Nick	Foligno	CBJ	CBJ	LW/RW	71	 	 	72	12	25	13	37	-14
5	2/9/1991	Gothenburg		SWE	SWE	75	214	R					24	Christian	Folin	MIN	MIN	D	25	 	 	26	0	4	2	4	-1
14	11/6/1987	Bonnyville	AB	CAN	CAN	70	174	R					28	Justin	Fontaine	MIN	MIN	RW	59	 	 	60	5	11	7	16	3
24	3/4/1992	Duluth	MN	USA	USA	76	212	L	2010	1	15	Y	23	Derek	Forbort	LAK	LAK	D	14	 	 	14	1	1	0	2	-1
9	8/13/1994	Ostervala		SWE	SWE	73	205	R	2012	1	11		21	Filip	Forsberg	NSH	NSH	LW/RW	81	 	 	82	33	31	14	64	1
4	12/5/1991	Windsor	ON	CAN	USA	73	207	L	2010	1	12		24	Cam	Fowler	ANA	ANA	D	69	 	 	69	5	23	11	28	-8
46	8/8/1987	Sicamous	BC	CAN	CAN	77	234	R	2005	3	79		28	Cody	Franson	BUF	BUF	D	59	 	 	59	4	13	6	17	-5
93	12/23/1979	Vetlanda		SWE	SWE	76	232	L	2004	3	97		36	Johan	Franzen	DET	DET	RW/LW	2	 	 	2	0	1	1	1	0
	11/20/1992	Skovde		SWE	SWE	71	200	R	2011	5	143	Y	23	Max	Friberg	ANA	ANA	RW/LW	5	 	 	5	0	0	0	0	-1
56	1/30/1991	St. Catharines	ON	CAN	CAN	69	186	L	2010	6	172	Y	25	Alex	Friesen	VAN	VAN	C	1	 	 	1	0	0	0	0	-2
56	3/12/1991	Winkler	MB	CAN	CAN	72	199	R	2009	4	119	Y	24	Byron	Froese	TOR	TOR	C	55	 	 	56	2	3	3	5	-11
67	2/17/1988	Kladno		CZE	CZE	73	194	L	2006	1	10		27	Michael	Frolik	CGY	CGY	RW	63	 	 	64	15	17	9	32	1
12	2/14/1982	Trencin		SVK	SVK	73	205	L	2000	1	3		33	Marian	Gaborik	LAK	LAK	RW/LW	54	 	 	54	12	10	7	22	-6
63	4/20/1993	Newmarket	ON	CAN	CAN	76	212	R	2013	3	81	Y	22	Kurtis	Gabriel	MIN	MIN	RW	3	 	 	3	0	0	0	0	1
89	8/10/1989	London	ON	CAN	CAN	71	202	R	2007	1	6		26	Sam	Gagner	PHI	PHI	C	52	 	 	53	8	8	4	16	4
27	2/12/1994	Milwaukee	WI	USA	USA	73	207	L	2012	1	3		21	Alex	Galchenyuk	MTL	MTL	C/LW	82	 	 	82	30	26	16	56	-8
49	1/17/1992	Moscow		RUS	RUS	73	187	R	2010	3	86	Y	24	Stanislav	Galiev	WSH	WSH	RW	24	 	 	24	0	3	3	3	2
11	5/6/1992	Edmonton	AB	CAN	CAN	69	184	R	2010	5	147		23	Brendan	Gallagher	MTL	MTL	RW	53	 	 	53	19	21	12	40	13
16	8/12/1985	Edmonton	AB	CAN	CAN	72	195	L					30	Ryan	Garbutt	ANA	CHI; ANA	C/RW/LW	43	37	 	80	7	7	7	14	-11
51	7/4/1990	Minnetonka	MN	USA	USA	74	197	L	2008	1	17		25	Jake	Gardiner	TOR	TOR	D	78	 	 	79	7	24	11	31	-15
5	11/13/1984	White Rock	BC	CAN	CAN	74	223	L					31	Jason	Garrison	TBL	TBL	D	72	 	 	72	5	6	3	11	-4
32	4/4/1993	Hamilton	ON	CAN	CAN	75	205	L				Y	22	Tyler	Gaudet	ARI	ARI	C	13	 	 	14	1	2	1	3	-2
13	8/13/1993	Salem	NJ	USA	USA	69	157	L	2011	4	104		22	Johnny	Gaudreau	CGY	CGY	LW	78	 	 	79	30	48	31	78	4
50	3/25/1994	Sudbury	ON	CAN	CAN	74	207	L	2012	1	26	Y	21	Brendan	Gaunce	VAN	VAN	C	20	 	 	20	1	0	0	1	-9
28	2/3/1982	Fargo	ND	USA	USA	77	227	L	2000	7	220		34	Paul	Gaustad	NSH	NSH	C	62	 	 	63	2	4	2	6	-4
54	4/26/1995	St-Lin	QC	CAN	CAN	77	238	L	2013	1	21	Y	20	Frederik	Gauthier	TOR	TOR	C	7	 	 	7	0	1	1	1	-5
20	7/25/1989	Toronto	ON	CAN	CAN	76	225	L	2007	6	172		26	Luke	Gazdic	EDM	EDM	LW	29	 	 	29	1	0	0	1	-6
44	5/8/1991	Vanier	ON	CAN	CAN	76	215	L	2009	2	54		24	Eric	Gelinas	COL	NJD; COL	D	34	6	 	40	1	5	3	6	-6
14	7/24/1987	Oxford	MI	USA	USA	65	178	L	2005	5	142		28	Nathan	Gerbe	CAR	CAR	LW/RW	47	 	 	47	3	4	2	7	-15
15	5/10/1985	Regina	SK	CAN	CAN	76	221	R	2003	1	19		30	Ryan	Getzlaf	ANA	ANA	C	77	 	 	77	13	50	30	63	14
77	1/10/1983	Bloomington	MN	USA	USA	74	202	R	2002	4	129		33	Tom	Gilbert	MTL	MTL	D	45	 	 	45	1	1	1	2	3
12	1/18/1979	Rochester	NY	USA	USA	67	178	R	1998	3	82		37	Brian	Gionta	BUF	BUF	RW	79	 	 	79	12	21	15	33	-5
11	10/9/1983	Rochester	NY	USA	USA	67	175	R					32	Stephen	Gionta	NJD	NJD	C/RW	81	 	 	82	1	10	6	11	-13
5	10/3/1983	Toronto	ON	CAN	CAN	72	198	L					32	Mark	Giordano	CGY	CGY	D	81	 	 	82	21	35	17	56	-5
5	4/29/1984	Welland	ON	CAN	CAN	73	208	R					31	Dan	Girardi	NYR	NYR	D	73	 	 	74	2	15	6	17	18
28	1/5/1994	Riga		LVA	LVA	73	203	L	2012	1	14		22	Zemgus	Girgensons	BUF	BUF	C/LW	71	 	 	71	7	11	9	18	0
28	1/12/1988	Hearst	ON	CAN	CAN	71	185	R	2006	1	22		28	Claude	Giroux	PHI	PHI	C	78	 	 	78	22	45	25	67	-8
15	11/29/1983	Regina	SK	CAN	CAN	73	213	L	2003	9	265		32	Tanner	Glass	NYR	NYR	LW	56	 	 	57	4	3	2	7	-3
41	4/28/1989	Grand Rapids	MI	USA	USA	71	194	R					26	Luke	Glendening	DET	DET	C	80	 	 	81	8	13	6	21	4
82	10/7/1995	Moscow		RUS	RUS	71	180	L	2014	1	27	Y	20	Nikolay	Goldobin	SJS	SJS	LW/RW	9	 	 	9	1	1	1	2	1
33	7/30/1985	Grand Rapids	MN	USA	USA	71	185	L	2004	2	61		30	Alex	Goligoski	DAL	DAL	D	81	 	 	82	5	32	14	37	21
29	11/30/1989	Mississauga	ON	CAN	CAN	73	201	R	2008	2	37		26	Cody	Goloubef	CBJ	CBJ	D	43	 	 	43	1	7	1	8	-3
23	12/23/1979	Anchorage	AK	USA	USA	71	200	L	1998	1	27		36	Scott	Gomez	OTT	STL; OTT	C	21	13	 	34	1	8	3	9	-7
89	2/26/1993	Toronto	ON	CAN	CAN	74	215	L					22	Barclay	Goodrow	SJS	SJS	RW/LW	14	 	 	14	0	3	2	3	1
15	10/19/1983	Unity	SK	CAN	CAN	72	200	R	2002	1	17		32	Boyd	Gordon	ARI	ARI	C	65	 	 	65	2	2	1	4	-7
4	8/14/1984	Kelowna	BC	CAN	CAN	73	203	L					31	Josh	Gorges	BUF	BUF	D	77	 	 	77	2	10	2	12	-7
46	2/18/1992	Murray River	PE	CAN	CAN	74	196	L	2010	1	13		23	Brandon	Gormley	COL	COL	D	26	 	 	26	0	1	0	1	-3
53	4/20/1993	Pembroke Pines	FL	USA	USA	71	180	L	2012	3	78	Y	22	Shayne	Gostisbehere	PHI	PHI	D	63	 	 	64	17	29	14	46	8
65	12/15/1991	Saint-Narcisse	QC	CAN	CAN	69	167	L				Y	24	Yanni	Gourde	TBL	TBL	C/LW	2	 	 	2	0	1	1	1	1
40	10/5/1987	Villach		AUT	AUT	73	181	L	2006	1	14		28	Michael	Grabner	TOR	TOR	RW/LW	79	 	 	80	9	9	5	18	-4
84	1/31/1984	Potsdam		DEU	BLR	71	186	L	2004	5	150		32	Mikhail	Grabovski	NYI	NYI	C	58	 	 	58	9	16	7	25	3
38	3/11/1987	Montreal	QC	CAN	CAN	75	205	L	2005	3	87		28	Marc-Andre	Gragnani	NJD	NJD	D	4	 	 	4	0	0	0	0	-2
8	8/27/1992	Gallivare		SWE	SWE	75	200	R	2010	4	116	Y	23	Petter	Granberg	NSH	NSH	D	26	 	 	27	0	2	2	2	1
60	4/16/1993	Oulu		FIN	FIN	72	178	L	2011	2	45		22	Markus	Granlund	VAN	CGY; VAN	C	31	16	 	47	6	4	4	10	-4
64	2/26/1992	Oulu		FIN	FIN	70	184	L	2010	1	9		23	Mikael	Granlund	MIN	MIN	C	81	 	 	82	13	31	25	44	-12
47	1/20/1989	Antigonish	NS	CAN	CAN	76	205	R	2007	4	118		27	Alex	Grant	ARI	ARI	D	5	 	 	5	0	0	0	0	-2
57	4/20/1990	Abbotsford	BC	CAN	CAN	75	202	L	2008	4	119	Y	25	Derek	Grant	CGY	CGY	C/LW	15	 	 	15	0	1	0	1	-7
44	4/27/1993	Brampton	ON	CAN	CAN	77	212	L	2011	7	191	Y	22	Tyler	Graovac	MIN	MIN	C	2	 	 	2	0	0	0	0	-1
53	3/6/1992	Kingsford	MI	USA	USA	76	185	L	2010	5	148	Y	23	Kevin	Gravel	LAK	LAK	D	5	 	 	5	0	0	0	0	0
25	10/12/1985	Calgary	AB	CAN	CAN	73	207	R	2004	1	29		30	Mike	Green	DET	DET	D	73	 	 	74	7	28	12	35	-6
6	10/30/1982	Trenton	MI	USA	USA	71	190	L					33	Andy	Greene	NJD	NJD	D	81	 	 	82	4	9	5	13	7
2	5/13/1983	Grand Ledge	MI	USA	USA	75	229	R	2002	2	44		32	Matt	Greene	LAK	LAK	D	3	 	 	3	0	0	0	0	0
38	3/9/1986	St. John's	NL	CAN	CAN	74	210	L	2005	7	204		29	Colin	Greening	TOR	OTT; TOR	C/LW	1	29	 	31	7	8	5	15	-2
65	9/5/1991	Laval	QC	CAN	CAN	77	200	R	2011	3	90	Y	24	Alexandre	Grenier	VAN	VAN	RW	6	 	 	6	0	0	0	0	-4
53	1/4/1993	Wallaceburg	ON	CAN	CAN	69	191	R	2012	5	131		23	Seth	Griffith	BOS	BOS	C/RW	4	 	 	4	0	1	0	1	-4
25	5/16/1994	Khabarovsk		RUS	RUS	75	209	L	2012	1	12		21	Mikhail	Grigorenko	COL	COL	C/LW	74	 	 	74	6	21	13	27	2
23	2/8/1993	Anaheim	CA	USA	USA	66	180	R	2011	2	33	Y	22	Rocco	Grimaldi	FLA	FLA	C/RW	20	 	 	20	3	2	0	5	-4
2	1/22/1985	Stockholm		SWE	SWE	76	230	L	2004	2	56		31	Nicklas	Grossmann	ARI	ARI	D	58	 	 	58	3	4	2	7	-3
62	4/14/1988	Saskatoon	SK	CAN	CAN	76	228	R	2006	3	68		27	Eric	Gryba	EDM	EDM	D	53	 	 	53	1	5	2	6	0
3	6/5/1990	Prague		CZE	CZE	72	204	R	2010	3	66		25	Radko	Gudas	PHI	PHI	D	75	 	 	76	5	9	5	14	-3
44	1/7/1992	Ottawa	ON	CAN	CAN	77	216	R	2010	1	3		24	Erik	Gudbranson	FLA	FLA	D	64	 	 	64	2	7	3	9	3
5	12/10/1982	Aliquippa	PA	USA	USA	75	207	R	2002	4	127		33	Nate	Guenin	COL	COL	D	29	 	 	29	0	0	0	0	2
4	11/9/1986	Orebro		SWE	SWE	74	196	L	2007	7	194		29	Carl	Gunnarsson	STL	STL	D	72	 	 	72	3	6	2	9	7
52	3/14/1992	Nynashamn		SWE	SWE	72	176	L	2012	4	93	Y	23	Erik	Gustafsson	CHI	CHI	D	41	 	 	41	0	14	7	14	11
62	8/23/1988	Sodertalje		SWE	SWE	71	186	L	2007	6	168		27	Carl	Hagelin	PIT	ANA; PIT	LW	43	37	 	80	14	25	15	39	8
65	3/24/1981	Bolton	CT	USA	USA	75	210	L	2000	1	13		34	Ron	Hainsey	CAR	CAR	D	80	 	 	81	5	14	6	19	-13
38	3/30/1986	Guelph	ON	CAN	CAN	70	205	L					29	Micheal	Haley	SJS	SJS	C/LW/RW	16	 	 	16	1	0	0	1	-2
15	6/1/1988	Toronto	ON	CAN	CAN	72	180	R	2007	4	117		27	Matt	Halischuk	WPG	WPG	RW/LW	30	 	 	30	0	3	3	3	1
4	11/14/1991	Calgary	AB	CAN	CAN	73	201	L	2010	1	1		24	Taylor	Hall	EDM	EDM	LW	81	 	 	82	26	39	29	65	-4
2	12/13/1982	Smithers	BC	CAN	CAN	73	209	L	2001	1	12		33	Dan	Hamhuis	VAN	VAN	D	58	 	 	58	3	10	6	13	-2
27	6/17/1993	Toronto	ON	CAN	CAN	78	210	R	2011	1	9		22	Dougie	Hamilton	CGY	CGY	D	81	 	 	82	12	31	11	43	-14
25	1/1/1992	Toronto	ON	CAN	CAN	73	195	R	2010	5	129		24	Freddie	Hamilton	CGY	CGY	C/RW	4	 	 	4	1	1	1	2	1
3	8/16/1990	St. Malo	MB	CAN	CAN	74	205	R	2008	2	53		25	Travis	Hamonic	NYI	NYI	D	71	 	 	72	5	16	5	21	-5
5	1/25/1997	Boston	MA	USA	USA	75	206	L	2015	1	5	Y	19	Noah	Hanifin	CAR	CAR	D	78	 	 	79	4	18	15	22	-14
71	6/8/1991	Keswick	ON	CAN	CAN	72	193	L				Y	24	Joel	Hanley	MTL	MTL	D	10	 	 	10	0	6	3	6	0
33	3/26/1993	Helsinki		FIN	FIN	74	189	L				Y	22	Markus	Hannikainen	CBJ	CBJ	LW	4	 	 	4	0	0	0	0	-2
36	3/15/1986	Rødovre		DNK	DNK	73	195	R	2004	9	287		29	Jannik	Hansen	VAN	VAN	RW/LW	67	 	 	67	22	16	12	38	16
11	2/20/1987	Pisek		CZE	CZE	78	226	L	2005	1	17		28	Martin	Hanzal	ARI	ARI	C	63	 	 	64	13	28	14	41	-5
67	1/12/1995	Hamilton	ON	CAN	CAN	78	222	L	2013	4	108	Y	21	Ben	Harpur	OTT	OTT	D	5	 	 	5	0	1	1	1	1
36	3/10/1993	Kingston	ON	CAN	CAN	74	216	L	2011	2	54	Y	22	Scott	Harrington	TOR	TOR	D	15	 	 	15	0	1	0	1	0
38	9/20/1994	Hilton Head Isl.	SC	USA	USA	71	191	R	2013	1	30	Y	21	Ryan	Hartman	CHI	CHI	RW	3	 	 	3	0	1	1	1	-1
43	4/18/1982	Regina	SK	CAN	CAN	74	214	L	2000	1	6		33	Scott	Hartnell	CBJ	CBJ	LW	78	 	 	79	23	26	15	49	-11
64	11/23/1991	Kennebunkport	ME	USA	USA	74	208	R				Y	24	Garnet	Hathaway	CGY	CGY	RW	14	 	 	14	0	3	3	3	-1
56	3/23/1991	Pori		FIN	FIN	72	193	L	2009	7	182		24	Erik	Haula	MIN	MIN	C/LW	75	 	 	76	14	20	13	34	21
29	4/19/1981	Mlada Boleslav		CZE	CZE	74	210	L	1999	1	26		34	Martin	Havlat	STL	STL	RW/LW	2	 	 	2	1	0	0	1	0
11	11/21/1989	Boston	MA	USA	USA	77	215	R	2008	2	60		26	Jimmy	Hayes	BOS	BOS	RW	75	 	 	75	13	16	5	29	-12
13	5/8/1992	Dorchester	MA	USA	USA	77	227	L	2010	1	24		23	Kevin	Hayes	NYR	NYR	RW/C	78	 	 	79	14	22	14	36	4
77	12/18/1990	Ornskoldsvik		SWE	SWE	78	223	L	2009	1	2		25	Victor	Hedman	TBL	TBL	D	77	 	 	78	10	37	22	47	21
39	10/8/1990	Faribault	MN	USA	USA	76	210	L	2009	4	114	Y	25	Seth	Helgeson	NJD	NJD	D	19	 	 	19	0	1	1	1	-5
43	1/21/1987	St. Andrews	MB	CAN	CAN	72	196	L	2005	5	132		29	Darren	Helm	DET	DET	C	76	 	 	77	13	13	7	26	-2
83	8/13/1983	Pardubice		CZE	CZE	72	185	R	2001	1	13		32	Ales	Hemsky	DAL	DAL	RW	74	 	 	75	13	26	16	39	3
23	6/17/1981	Blaine	MN	USA	USA	72	207	L	2000	5	131		34	Matt	Hendricks	EDM	EDM	LW/RW	67	 	 	68	5	7	4	12	2
14	2/6/1990	Brantford	ON	CAN	CAN	72	195	L	2008	3	82		26	Adam	Henrique	NJD	NJD	C/LW	79	 	 	80	30	20	7	50	10
48	11/12/1993	Praha		CZE	CZE	74	210	L	2012	1	17		22	Tomas	Hertl	SJS	SJS	C/RW/LW	81	 	 	81	21	25	12	46	16
14	2/8/1989	Calgary	AB	CAN	CAN	72	189	L	2007	1	4		26	Thomas	Hickey	NYI	NYI	D	61	 	 	62	6	12	7	18	9
20	6/2/1983	Smithtown	NY	USA	USA	72	205	L	2002	1	14		32	Chris	Higgins	VAN	VAN	LW	33	 	 	33	3	1	1	4	-14
48	4/3/1994	Chicago	IL	USA	USA	69	158	R	2012	6	169	Y	21	Vincent	Hinostroza	CHI	CHI	C	7	 	 	7	0	0	0	0	-1
4	6/6/1987	Eksjo		SWE	SWE	75	197	L	2005	4	108		28	Niklas	Hjalmarsson	CHI	CHI	D	81	 	 	81	2	22	7	24	13
11	2/18/1990	Toronto	ON	CAN	CAN	72	191	R	2008	1	10		25	Cody	Hodgson	NSH	NSH	C	39	 	 	39	3	5	4	8	2
